sample_size,opt_gen_error
5,15.719502130594693
6,13.979415595412727
7,14.375036436102853
8,18.029974235321117
9,13.707046631555032
10,13.275279147803586
11,14.30891441905537
12,10.773933824781226
13,8.421724081048191
14,7.5252713425258495
15,7.591402651157704
16,6.387778620314652
17,6.569318092306636
18,7.3448993313646485
19,6.696679406679063
20,6.9190770337736645
21,6.1935894085760115
22,6.2086357556244725
23,6.1390066047401755
24,6.363951930466939
25,6.191341256182478
26,6.547852365938342
27,6.296122397595429
28,6.6628437710798565
29,4.7758044107017
30,4.892227940286691
31,5.441282010788921
32,5.488252136286614
33,5.475731026495788
34,5.922385447000069
35,6.395127395621157
36,6.460698866814197
37,6.522781013827929
38,5.224781336164105
39,5.79798346374377
40,5.5981700571849204
41,5.747722679944251
42,5.688190049295838
43,5.627250794264389
44,6.027030658352401
45,5.402357549801415
46,5.38037503612365
47,5.283773906316807
48,5.266773495413341
49,5.78905539223109
50,5.534632130362438
51,5.577081064817971
52,5.503604113983271
53,5.480556441099607
54,5.920791505913186
55,5.705171375975514
56,5.975271963588401
57,5.9803405949903
58,5.872868784129463
59,5.843897825790411
60,5.376119672333441
61,5.826830685542871
62,5.94668765022718
63,6.211130395004928
64,5.757461770252855
65,5.673987851475432
66,5.700417619366608
67,5.7170219162456135
68,5.665594279334653
69,5.825399905823682
70,5.854524015131772
71,5.763256012226076
72,5.424168473036704
73,5.594823391069031
74,5.6662064692395955
75,5.683096255009307
76,5.841023422754035
77,5.766687614643693
78,5.695966932094837
79,5.012655122665505
80,4.771852140841205
81,4.688080864220824
82,4.694362587910927
83,4.6971951542765575
84,4.754659183984974
85,4.4912163601834845
86,4.4799834747817195
87,4.711930865881844
88,4.5582663822126355
89,4.469364260131648
90,4.521504432298734
91,4.5708616759773095
92,4.441627519579422
93,4.68978711052499
94,4.688145025174104
95,4.909396086506513
96,4.88179534792739
97,4.891221095679795
98,4.824379228692229
99,4.827268659210339
100,4.7686692963310895
101,4.751412032146616
102,4.675168709898842
103,4.804627370374731
104,4.896391749279369
105,4.986879106247239
106,4.876241512299712
107,4.71611134153672
108,4.715058459827298
109,4.640881808112868
110,4.641173582896763
111,4.491641206516042
112,4.437879720849145
113,4.472749883653856
114,4.7374743492796085
115,4.8703153279385045
116,4.681653746360947
117,4.673762501088649
118,4.49139497661557
119,4.433146413008078
120,4.682727313547942
121,4.647504403292753
122,4.741620503648833
123,4.731512597525402
124,4.727755556645275
125,4.702289619856586
126,4.908450894916915
127,4.930153106246344
128,4.703997129108964
129,4.738026576214562
130,4.463984876372446
131,4.461021350546049
132,4.5409425454964385
133,4.539083573729669
134,4.653387941619843
135,4.719117320709331
136,4.699359563961224
137,8.671534743639198
138,8.786331449273424
139,8.850829078993549
140,4.406439013795054
141,7.426736833980662
142,7.53933784815613
143,4.965368152767264
144,7.579380046006405
145,8.357101310681093
146,8.570425884076764
147,8.483274020266233
148,8.540923157773252
149,8.599938984186059
150,7.950404980102268
151,4.657289684094283
152,4.7222612095529115
153,4.691350569225079
154,4.760945919441636
155,4.795599134632318
156,4.806180111290258
