sample_size,opt_gen_error
5,1.4457230154103309
6,1.1761163706265103
7,1.1857976414841445
8,1.33550959796617
9,1.2371120331061787
10,1.2879007552378374
11,1.286948542899741
12,1.2018547985145032
13,1.1832991201749892
14,1.0122432086680713
15,1.066050341612691
16,0.9683372312369014
17,0.9851262345407801
18,0.38875850953089347
19,0.9480374270418289
20,0.9418538648490259
21,0.9077864184081668
22,0.9078556898858983
23,0.917834604940066
24,0.9155322577800089
25,0.9102365607169526
26,0.9102415076150295
27,0.9073429328880286
28,0.9236274959678143
29,0.9046437115433035
30,0.9016857698425694
31,0.9029396101069502
32,0.9056660792763866
33,0.9060402766777105
34,0.905034032041496
35,0.9213981771808117
36,0.9218224030165962
37,0.9263616820872318
38,0.9155039933078629
39,0.9180443330863612
40,0.9112246953706757
41,0.9193701334232326
42,0.9092992399017228
43,0.9029725461694358
44,0.9197727076730405
45,0.8979247479815362
46,0.8977151851172898
47,0.8994761557414799
48,0.9014098039586621
49,0.9187079963896189
50,0.9118332207057352
51,0.9111238366631226
52,0.9109532143808283
53,0.9100721747625903
54,0.9244017617176004
55,0.9160424637729732
56,0.9170329731043452
57,0.9150936042959668
58,0.9108833210352751
59,0.9115373254174106
60,0.895217364269718
61,0.9060705772200836
62,0.9137693571177029
63,0.9127893179693849
64,0.9012205071788354
65,0.9021781305162189
66,0.902061335413688
67,0.903068253751312
68,0.90266318144834
69,0.9089846830971099
70,0.9111881580338516
71,0.9083941847904092
72,0.8966516499322552
73,0.9014005691923991
74,0.9010779140010899
75,0.9009437757029513
76,0.9062371465291279
77,0.9062630449943104
78,0.9058285268434901
79,0.9002348946486054
80,0.8999863508628201
81,0.9011149465120317
82,0.9010484649165245
83,0.8989412609445975
84,0.9014449299521516
85,0.9049629042422511
86,0.9066293477937412
87,0.9052010811614567
88,0.899938568572991
89,0.8962241409739092
90,0.8944481785286164
91,0.8943360747285322
92,0.8938378154674734
93,0.9015963743420847
94,0.9015658168860806
95,0.8982813097504859
96,0.8975222298361921
97,0.8968017066426339
98,0.897737729965694
99,0.8964133544804826
100,0.8968259743837339
101,0.8968292579307862
102,0.8949857498684176
103,0.8953310363389589
104,0.8982868398191853
105,0.8950659523371757
106,0.8958107101114816
107,0.8901873424343605
108,0.8893874173624879
109,0.885196919028638
110,0.8857348827819067
111,0.8860069506914727
112,0.8850051415447977
113,0.8838411972716622
114,0.8882994038899297
115,0.8874745318072473
116,0.8818156149435942
117,0.8813494887309469
118,0.8778216859558623
119,0.8778437142060944
120,0.8813284185759285
121,0.8814410010229713
122,0.8833794889608897
123,0.8830947742996097
124,0.8833222246117426
125,0.8823242981185158
126,0.8861628218250771
127,0.8853168083153261
128,0.8835457647389329
129,0.8833849195285746
130,0.8824353973739236
131,0.8825243425887908
132,0.8844715061604207
133,0.8845190217260235
134,0.8847875713858111
135,0.8867479508212281
136,0.8881612314079348
137,0.28966172983928956
138,0.28958083513174754
139,0.28971688899500897
140,0.8862096352696932
141,0.28898310685012546
142,0.28906932859418044
143,0.8888134891669283
144,0.28989594547304876
145,0.29018463114101567
146,0.2904910877272777
147,0.29043830494186296
148,0.2897422923438177
149,0.2898654517242122
150,0.288871912594269
151,0.8912394173533649
152,0.8912460900145245
153,0.8914221404727114
154,0.8903584799587352
155,0.8903507632028179
156,0.8891276522888812
157,0.8883977029186184
158,0.8879038086192426
159,0.8872497492698825
160,0.8888669357244414
161,0.8863923328496665
162,0.8876843528653516
163,0.8874417562814946
164,0.8894175424386047
165,0.8882409204652199
166,0.8849658252570897
167,0.8861895168385212
168,0.8866727805978775
169,0.8867028936556913
170,0.2851987148590256
171,0.2850341857652329
172,0.2850656110989816
173,0.2861234285276794
174,0.2861909739208266
175,0.28675114481220987
176,0.28675932023378875
177,0.2859977015950931
178,0.2863079190178682
179,0.2863101212599325
180,0.28601371471545445
181,0.28563414583646873
182,0.28593983547019874
183,0.2861039103099311
184,0.2876682267821116
185,0.2877273873782986
186,0.28736949574783993
187,0.28774085089071033
188,0.2875812554041975
189,0.2892198307239768
190,0.2896538260334316
191,0.2894654552166591
192,0.28951075472392723
193,0.2897077707478732
194,0.28839666350274
195,0.2883984938716938
196,0.28828029625665447
197,0.28774076912242336
198,0.287687060388386
199,0.28787877795496497
200,0.2883564112151689
201,0.2885045636764632
202,0.2887472729377314
203,0.28922016048406657
204,0.2892440524781322
205,0.2886999888359563
206,0.2882478972250732
207,0.28800749627936484
208,0.2876525828166701
209,0.28789685985330415
210,0.2874714684528846
211,0.28751475297114787
212,0.2869209620136114
213,0.876060828651659
214,0.8760268915773765
215,0.8756107214134147
216,0.8754515668179657
217,0.8774951662643844
218,0.8780169573972695
219,0.877325556579462
220,0.8782009696343491
221,0.8783667404557669
222,0.8781548109254385
223,0.8787699559262885
224,0.8789382817512474
225,0.8793896286424142
226,0.8792345194894593
227,0.880050639739699
228,0.8798470928327322
229,0.8813363818446229
230,0.8807020062228921
231,0.8805284640841317
232,0.8794202207537167
233,0.8794623317774047
234,0.8799355464348879
235,0.8796997103098602
236,0.8793241274651651
237,0.8791371675979767
238,0.8781884412992951
239,0.8769715319480441
240,0.8770334718324216
241,0.8770582713869269
242,0.8769530718438263
243,0.8768471599168839
244,0.8768945511023716
245,0.8769630996228815
246,0.8776371240636377
247,0.8781731882328093
248,0.8781740925636974
249,0.8781335571067979
250,0.8788175261260012
251,0.8787951902098746
252,0.8788240561273029
253,0.8780274340872569
254,0.8778708755226006
255,0.8779635948994082
256,0.877861027295912
257,0.8775011622878949
258,0.8773783993611698
259,0.8771026674029938
260,0.8764235025716604
261,0.876993422590812
262,0.8770138455143726
263,0.8771073690414379
264,0.8772103078475509
265,0.8771807313521782
266,0.87728027059655
267,0.8774021780224284
268,0.8773170527935658
269,0.876758942822945
270,0.876806209583765
271,0.8758459847591316
272,0.8757851967382225
273,0.8766597470909048
274,0.8768061731165806
275,0.8768100273390235
